   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.359722   0.007804   0.005799   0.013603   0.000000  -0.000000   0.000140  -0.000000  -0.000000   77.0000     0.2237
   -4.500     0.000  -0.323944   0.006329   0.005675   0.012004   0.000000  -0.000000   0.000126   0.000000   0.000000   77.0000     0.2236
   -4.000     0.000  -0.288106   0.005006   0.005556   0.010562   0.000000  -0.000000   0.000112   0.000000   0.000000   77.0000     0.2235
   -3.500     0.000  -0.252212   0.003836   0.005446   0.009283   0.000000  -0.000000   0.000098   0.000000   0.000000   77.0000     0.2235
   -3.000     0.000  -0.216271   0.002821   0.005349   0.008170   0.000000  -0.000000   0.000084  -0.000000   0.000000   77.0000     0.2234
   -2.500     0.000  -0.180288   0.001960   0.005284   0.007244   0.000000  -0.000000   0.000070  -0.000000  -0.000000   77.0000     0.2234
   -2.000     0.000  -0.144272   0.001255   0.005226   0.006481   0.000000  -0.000000   0.000056   0.000000  -0.000000   77.0000     0.2233
   -1.500     0.000  -0.108228   0.000706   0.005171   0.005877   0.000000  -0.000000   0.000042  -0.000000   0.000000   77.0000     0.2233
   -1.000     0.000  -0.072163   0.000314   0.005136   0.005450   0.000000  -0.000000   0.000028  -0.000000   0.000000   77.0000     0.2233
   -0.500     0.000  -0.036085   0.000079   0.005114   0.005193   0.000000  -0.000000   0.000014   0.000000  -0.000000   77.0000     0.2233
    0.000     0.000   0.000000   0.000000   0.005102   0.005102   0.000000   0.000000   0.000000   0.000000   0.000000   77.0000     0.0000
    0.500     0.000   0.036085   0.000079   0.005114   0.005193   0.000000   0.000000  -0.000014   0.000000  -0.000000   77.0000     0.2233
    1.000     0.000   0.072163   0.000314   0.005136   0.005450   0.000000   0.000000  -0.000028  -0.000000   0.000000   77.0000     0.2233
    1.500     0.000   0.108228   0.000706   0.005171   0.005877   0.000000   0.000000  -0.000042   0.000000   0.000000   77.0000     0.2233
    2.000     0.000   0.144272   0.001255   0.005226   0.006481   0.000000   0.000000  -0.000056   0.000000  -0.000000   77.0000     0.2233
    2.500     0.000   0.180288   0.001960   0.005284   0.007244   0.000000   0.000000  -0.000070  -0.000000  -0.000000   77.0000     0.2234
    3.000     0.000   0.216271   0.002821   0.005349   0.008170   0.000000   0.000000  -0.000084   0.000000   0.000000   77.0000     0.2234
    3.500     0.000   0.252212   0.003836   0.005446   0.009283   0.000000   0.000000  -0.000098   0.000000   0.000000   77.0000     0.2235
    4.000     0.000   0.288106   0.005006   0.005556   0.010562   0.000000   0.000000  -0.000112   0.000000   0.000000   77.0000     0.2235
    4.500     0.000   0.323944   0.006329   0.005675   0.012004   0.000000   0.000000  -0.000126   0.000000   0.000000   77.0000     0.2236
    5.000     0.000   0.359722   0.007804   0.005799   0.013603   0.000000   0.000000  -0.000140  -0.000000  -0.000000   77.0000     0.2237
    5.500     0.000   0.395431   0.009430   0.005944   0.015374   0.000000   0.000000  -0.000155   0.000000   0.000000   77.0000     0.2238
    6.000     0.000   0.431066   0.011206   0.006102   0.017309   0.000000   0.000000  -0.000169  -0.000000  -0.000000   77.0000     0.2239
    6.500     0.000   0.466620   0.013131   0.006270   0.019401   0.000000   0.000000  -0.000183  -0.000000   0.000000   77.0000     0.2240
    7.000     0.000   0.502085   0.015203   0.006443   0.021645   0.000000   0.000000  -0.000197   0.000000   0.000000   77.0000     0.2241
    7.500     0.000   0.537456   0.017420   0.006619   0.024039   0.000000   0.000000  -0.000211   0.000000   0.000000   77.0000     0.2242
    8.000     0.000   0.572726   0.019781   0.006805   0.026586   0.000000   0.000000  -0.000225   0.000000   0.000000   77.0000     0.2244
    8.500     0.000   0.607888   0.022284   0.007000   0.029284   0.000000   0.000000  -0.000239   0.000000   0.000000   77.0000     0.2245
    9.000     0.000   0.642937   0.024927   0.007205   0.032132   0.000000   0.000000  -0.000253  -0.000000  -0.000000   77.0000     0.2246
    9.500     0.000   0.677865   0.027708   0.007427   0.035135   0.000000   0.000000  -0.000267  -0.000000   0.000000   77.0000     0.2248
   10.000     0.000   0.712666   0.030625   0.007659   0.038284   0.000000   0.000000  -0.000281  -0.000000  -0.000000   77.0000     0.2250
