   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.298662   0.008352   0.005540   0.013892  -0.000000   0.000000   0.000182   0.000000   0.000000   77.0000     0.2371
   -4.500     0.000  -0.268986   0.006773   0.005454   0.012227  -0.000000   0.000000   0.000164   0.000000   0.000000   77.0000     0.2370
   -4.000     0.000  -0.239249   0.005358   0.005379   0.010736  -0.000000   0.000000   0.000145   0.000000   0.000000   77.0000     0.2369
   -3.500     0.000  -0.209460   0.004106   0.005314   0.009420  -0.000000   0.000000   0.000127   0.000000   0.000000   77.0000     0.2368
   -3.000     0.000  -0.179624   0.003019   0.005264   0.008283  -0.000000   0.000000   0.000109   0.000000   0.000000   77.0000     0.2367
   -2.500     0.000  -0.149747   0.002098   0.005217   0.007315  -0.000000   0.000000   0.000091   0.000000   0.000000   77.0000     0.2367
   -2.000     0.000  -0.119838   0.001343   0.005170   0.006513  -0.000000   0.000000   0.000073   0.000000   0.000000   77.0000     0.2366
   -1.500     0.000  -0.089902   0.000756   0.005135   0.005891  -0.000000   0.000000   0.000055  -0.000000   0.000000   77.0000     0.2366
   -1.000     0.000  -0.059946   0.000336   0.005104   0.005441  -0.000000   0.000000   0.000036  -0.000000   0.000000   77.0000     0.2365
   -0.500     0.000  -0.029976   0.000084   0.005098   0.005182  -0.000000   0.000000   0.000018  -0.000000   0.000000   77.0000     0.2365
    0.000     0.000   0.000000   0.000000   0.005095   0.005095   0.000000   0.000000   0.000000  -0.000000   0.000000   77.0000     0.0000
    0.500     0.000   0.029976   0.000084   0.005098   0.005182  -0.000000  -0.000000  -0.000018   0.000000   0.000000   77.0000     0.2365
    1.000     0.000   0.059946   0.000336   0.005104   0.005441  -0.000000  -0.000000  -0.000036   0.000000   0.000000   77.0000     0.2365
    1.500     0.000   0.089902   0.000756   0.005135   0.005891  -0.000000  -0.000000  -0.000055  -0.000000   0.000000   77.0000     0.2366
    2.000     0.000   0.119838   0.001343   0.005170   0.006513  -0.000000  -0.000000  -0.000073  -0.000000   0.000000   77.0000     0.2366
    2.500     0.000   0.149747   0.002098   0.005217   0.007315  -0.000000  -0.000000  -0.000091   0.000000   0.000000   77.0000     0.2367
    3.000     0.000   0.179624   0.003019   0.005264   0.008283  -0.000000  -0.000000  -0.000109   0.000000   0.000000   77.0000     0.2367
    3.500     0.000   0.209460   0.004106   0.005314   0.009420  -0.000000  -0.000000  -0.000127   0.000000   0.000000   77.0000     0.2368
    4.000     0.000   0.239249   0.005358   0.005379   0.010736  -0.000000  -0.000000  -0.000145   0.000000   0.000000   77.0000     0.2369
    4.500     0.000   0.268986   0.006773   0.005454   0.012227  -0.000000  -0.000000  -0.000164   0.000000   0.000000   77.0000     0.2370
    5.000     0.000   0.298662   0.008352   0.005540   0.013892  -0.000000  -0.000000  -0.000182   0.000000   0.000000   77.0000     0.2371
    5.500     0.000   0.328273   0.010092   0.005633   0.015726  -0.000000  -0.000000  -0.000200   0.000000   0.000000   77.0000     0.2372
    6.000     0.000   0.357810   0.011993   0.005734   0.017727  -0.000000  -0.000000  -0.000218   0.000000   0.000000   77.0000     0.2374
    6.500     0.000   0.387269   0.014053   0.005843   0.019896  -0.000000  -0.000000  -0.000236   0.000000   0.000000   77.0000     0.2375
    7.000     0.000   0.416642   0.016270   0.005956   0.022226  -0.000000  -0.000000  -0.000255   0.000000   0.000000   77.0000     0.2377
    7.500     0.000   0.445922   0.018643   0.006069   0.024712  -0.000000  -0.000000  -0.000273   0.000000   0.000000   77.0000     0.2378
    8.000     0.000   0.475105   0.021170   0.006189   0.027359  -0.000000  -0.000000  -0.000291   0.000000   0.000000   77.0000     0.2380
    8.500     0.000   0.504183   0.023849   0.006316   0.030164  -0.000000  -0.000000  -0.000309   0.000000   0.000000   77.0000     0.2382
    9.000     0.000   0.533150   0.026677   0.006444   0.033121  -0.000000  -0.000000  -0.000327   0.000000   0.000000   77.0000     0.2384
    9.500     0.000   0.562001   0.029653   0.006574   0.036227  -0.000000  -0.000000  -0.000345   0.000000   0.000000   77.0000     0.2386
   10.000     0.000   0.590728   0.032775   0.006705   0.039480  -0.000000  -0.000000  -0.000363   0.000000   0.000000   77.0000     0.2388
