    alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.329496   0.005391   0.005739   0.011130   0.000000   0.000000   0.000016   0.000000  -0.000000   77.0000     0.4004
   -4.500     0.000  -0.290974   0.004205   0.005647   0.009852   0.000000   0.000000   0.000017   0.000000  -0.000000   77.0000     0.4003
   -4.000     0.000  -0.252402   0.003164   0.005568   0.008732   0.000000   0.000000   0.000019   0.000000  -0.000000   77.0000     0.4003
   -3.500     0.000  -0.213787   0.002270   0.005498   0.007769   0.000000   0.000000   0.000020   0.000000  -0.000000   77.0000     0.4002
   -3.000     0.000  -0.175137   0.001524   0.005440   0.006965   0.000000   0.000000   0.000021   0.000000  -0.000000   77.0000     0.4002
   -2.500     0.000  -0.136457   0.000926   0.005388   0.006315  -0.000000   0.000000   0.000023   0.000000   0.000000   77.0000     0.4002
   -2.000     0.000  -0.097755   0.000476   0.005345   0.005822  -0.000000   0.000000   0.000024   0.000000   0.000000   77.0000     0.4003
   -1.500     0.000  -0.059038   0.000175   0.005313   0.005488  -0.000000   0.000000   0.000025   0.000000   0.000000   77.0000     0.4005
   -1.000     0.000  -0.020312   0.000023   0.005300   0.005323  -0.000000  -0.000000   0.000026   0.000000   0.000000   77.0000     0.4015
   -0.500     0.000   0.018416   0.000019   0.005299   0.005319  -0.000000  -0.000000   0.000027   0.000000   0.000000   77.0000     0.3982
    0.000     0.000   0.057139   0.000165   0.005311   0.005476  -0.000000  -0.000000   0.000028   0.000000   0.000000   77.0000     0.3994
    0.500     0.000   0.095850   0.000459   0.005343   0.005802  -0.000000  -0.000000   0.000029   0.000000   0.000000   77.0000     0.3997
    1.000     0.000   0.134542   0.000902   0.005385   0.006287  -0.000000  -0.000000   0.000030   0.000000   0.000000   77.0000     0.3998
    1.500     0.000   0.173208   0.001493   0.005436   0.006928  -0.000000  -0.000000   0.000030   0.000000   0.000000   77.0000     0.3999
    2.000     0.000   0.211842   0.002231   0.005493   0.007724  -0.000000  -0.000000   0.000031   0.000000   0.000000   77.0000     0.4000
    2.500     0.000   0.250437   0.003116   0.005560   0.008676  -0.000000  -0.000000   0.000031   0.000000   0.000000   77.0000     0.4001
    3.000     0.000   0.288986   0.004148   0.005638   0.009786  -0.000000  -0.000000   0.000031   0.000000   0.000000   77.0000     0.4003
    3.500     0.000   0.327483   0.005325   0.005727   0.011052  -0.000000  -0.000000   0.000032   0.000000   0.000000   77.0000     0.4004
    4.000     0.000   0.365920   0.006646   0.005832   0.012478  -0.000000  -0.000000   0.000032   0.000000   0.000000   77.0000     0.4005
    4.500     0.000   0.404290   0.008111   0.005934   0.014046  -0.000000  -0.000000   0.000032   0.000000   0.000000   77.0000     0.4007
    5.000     0.000   0.442588   0.009718   0.006040   0.015758  -0.000000  -0.000000   0.000031   0.000000   0.000000   77.0000     0.4008
    5.500     0.000   0.480806   0.011466   0.006163   0.017629  -0.000000  -0.000000   0.000031   0.000000   0.000000   77.0000     0.4010
    6.000     0.000   0.518938   0.013354   0.006284   0.019638  -0.000000  -0.000000   0.000031   0.000000   0.000000   77.0000     0.4012
    6.500     0.000   0.556978   0.015380   0.006405   0.021785  -0.000000  -0.000000   0.000030   0.000000   0.000000   77.0000     0.4014
    7.000     0.000   0.594918   0.017542   0.006541   0.024083  -0.000000  -0.000000   0.000029   0.000000   0.000000   77.0000     0.4016
    7.500     0.000   0.632753   0.019839   0.006683   0.026523  -0.000000  -0.000000   0.000029   0.000000   0.000000   77.0000     0.4018
    8.000     0.000   0.670476   0.022269   0.006828   0.029098  -0.000000  -0.000000   0.000028   0.000000   0.000000   77.0000     0.4021
    8.500     0.000   0.708080   0.024831   0.006981   0.031812  -0.000000  -0.000000   0.000027   0.000000   0.000000   77.0000     0.4023
    9.000     0.000   0.745559   0.027521   0.007135   0.034656  -0.000000  -0.000000   0.000026   0.000000   0.000000   77.0000     0.4026
    9.500     0.000   0.782907   0.030338   0.007299   0.037637  -0.000000  -0.000000   0.000024   0.000000   0.000000   77.0000     0.4029
   10.000     0.000   0.820119   0.033281   0.007488   0.040769  -0.000000  -0.000000   0.000023   0.000000   0.000000   77.0000     0.4032


