   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.377467   0.008647   0.007741   0.016388   0.000000   0.000000  -0.129385   0.000000  -0.000000  160.0000     0.0473
   -4.500     0.000  -0.339531   0.007003   0.007475   0.014479   0.000000   0.000000  -0.116460   0.000000   0.000000  160.0000     0.0473
   -4.000     0.000  -0.301623   0.005531   0.007244   0.012774   0.000000   0.000000  -0.103503   0.000000  -0.000000  160.0000     0.0473
   -3.500     0.000  -0.263148   0.004215   0.007025   0.011240   0.000000   0.000000  -0.090543   0.000000   0.000000  160.0000     0.0472
   -3.000     0.000  -0.225052   0.003088   0.006850   0.009938   0.000000   0.000000  -0.077585   0.000000   0.000000  160.0000     0.0472
   -2.500     0.000  -0.187149   0.002138   0.006740   0.008879   0.000000   0.000000  -0.064613   0.000000   0.000000  160.0000     0.0472
   -2.000     0.000  -0.149392   0.001368   0.006679   0.008047   0.000000   0.000000  -0.051621   0.000000  -0.000000  160.0000     0.0472
   -1.500     0.000  -0.111969   0.000772   0.006677   0.007450   0.000000   0.000000  -0.038652   0.000000   0.000000  160.0000     0.0472
   -1.000     0.000  -0.074408   0.000345   0.006708   0.007053   0.000000   0.000000  -0.025665   0.000000   0.000000  160.0000     0.0473
   -0.500     0.000  -0.036810   0.000087   0.006721   0.006808   0.000000   0.000000  -0.012699   0.000000   0.000000  160.0000     0.0527
    0.000     0.000   0.000627  -0.000000   0.006698   0.006698   0.000000  -0.000000   0.000218   0.000000  -0.000000  160.0000     0.0670
    0.500     0.000   0.038066   0.000082   0.006721   0.006803   0.000000  -0.000000   0.013137   0.000000  -0.000000  160.0000     0.0522
    1.000     0.000   0.075670   0.000334   0.006707   0.007042   0.000000  -0.000000   0.026102   0.000000   0.000000  160.0000     0.0473
    1.500     0.000   0.113225   0.000756   0.006677   0.007433   0.000000  -0.000000   0.039092   0.000000   0.000000  160.0000     0.0472
    2.000     0.000   0.150652   0.001347   0.006681   0.008028   0.000000  -0.000000   0.052059   0.000000  -0.000000  160.0000     0.0471
    2.500     0.000   0.188376   0.002113   0.006742   0.008855   0.000000  -0.000000   0.065040   0.000000  -0.000000  160.0000     0.0472
    3.000     0.000   0.226335   0.003056   0.006854   0.009911   0.000000  -0.000000   0.078027   0.000000   0.000000  160.0000     0.0472
    3.500     0.000   0.264445   0.004179   0.007032   0.011211   0.000000  -0.000000   0.090981   0.000000  -0.000000  160.0000     0.0472
    4.000     0.000   0.302871   0.005490   0.007250   0.012740   0.000000  -0.000000   0.103929   0.000000   0.000000  160.0000     0.0473
    4.500     0.000   0.340840   0.006957   0.007483   0.014440   0.000000  -0.000000   0.116896   0.000000  -0.000000  160.0000     0.0473
    5.000     0.000   0.378798   0.008599   0.007750   0.016349   0.000000  -0.000000   0.129805   0.000000   0.000000  160.0000     0.0473
    5.500     0.000   0.417148   0.010435   0.008032   0.018467   0.000000  -0.000000   0.142697   0.000000  -0.000000  160.0000     0.0473
    6.000     0.000   0.456301   0.012489   0.008332   0.020822   0.000000  -0.000000   0.155572  -0.000000  -0.000000  160.0000     0.0474
    6.500     0.000   0.495718   0.014748   0.008664   0.023412   0.000000  -0.000000   0.168431   0.000000  -0.000000  160.0000     0.0475
    7.000     0.000   0.534426   0.017150   0.009039   0.026189   0.000000  -0.000000   0.181232   0.000000   0.000000  160.0000     0.0475
    7.500     0.000   0.574324   0.019809   0.009458   0.029267   0.000000  -0.000000   0.193983   0.000000   0.000000  160.0000     0.0476
    8.000     0.000   0.614820   0.022706   0.009975   0.032682   0.000000  -0.000000   0.206582   0.000000   0.000000  160.0000     0.0477
    8.500     0.000   0.657804   0.025984   0.010581   0.036565   0.000000  -0.000000   0.219249  -0.000000  -0.000000  160.0000     0.0479
    9.000     0.000   0.701321   0.029542   0.011185   0.040727   0.000000  -0.000000   0.232053   0.000000   0.000000  160.0000     0.0481
    9.500     0.000   0.744905   0.033321   0.011781   0.045102   0.000000  -0.000000   0.244881   0.000000   0.000000  160.0000     0.0482
   10.000     0.000   0.788164   0.037313   0.012371   0.049683   0.000000  -0.000000   0.257590  -0.000000  -0.000000  160.0000     0.0484


